filename,DSID_INTU,min_long,max_long,min_lat,max_lat,mid_lon,mid_lat,
NO4F1615.000,4,7.75,8.0,63.0,63.25,7.875,63.125
NO4W1615.000,4,7.75,7.875,63.375,63.5,7.8125,63.4375
NO4X1615.000,4,7.875,8.0,63.375,63.5,7.9375,63.4375
NO4E1615.000,4,7.5,7.75,63.0,63.25,7.625,63.125
NO4G1615.000,4,7.5,7.75,63.25,63.5,7.625,63.375
NO4V1615.000,4,7.875,8.0,63.25,63.375,7.9375,63.3125
NO4U1615.000,4,7.75,7.875,63.25,63.375,7.8125,63.3125
NO4D1515.000,4,7.5,8.0,62.5,63.0,7.75,62.75
NO4D1715.000,4,7.6292133,8.0,63.5,63.6678217,7.81460665,63.583910849999995
NO4D0921.000,4,10.5,10.8333333,59.5,59.9333333,10.66666665,59.71666665
NO4E0822.000,4,11.0,11.25,59.0,59.25,11.125,59.125
NO4G0821.000,4,10.5,10.75,59.25,59.5,10.625,59.375
NO4E0821.000,4,10.5,10.75,59.0,59.25,10.625,59.125
NO4M0820.000,4,10.25,10.375,59.0,59.125,10.3125,59.0625
NO4H0820.000,4,10.25,10.5,59.25,59.5,10.375,59.375
NO4G0822.000,4,11.0,11.25,59.25,59.2833333,11.125,59.266666650000005
NO4G0720.000,4,10.0,10.25,58.75,59.0,10.125,58.875
NO4N0820.000,4,10.375,10.5,59.0,59.125,10.4375,59.0625
NO4E0820.000,4,10.0,10.25,59.0,59.25,10.125,59.125
NO4H0821.000,4,10.75,10.8402083,59.25,59.5,10.79510415,59.375
NO4F0819.000,4,9.75,10.0,59.0,59.25,9.875,59.125
NO4D0721.000,4,10.5,11.0,58.8833333,59.0,10.75,58.94166665
NO4D0722.000,4,11.0,11.4820383,58.898,59.0,11.24101915,58.949
NO4D0920.000,4,10.0,10.5,59.5,60.0,10.25,59.75
NO4F0821.000,4,10.75,11.0,59.0,59.25,10.875,59.125
NO4H0720.000,4,10.25,10.5,58.8857836,59.0,10.375,58.9428918
NO4H0719.000,4,9.75,10.0,58.75,59.0,9.875,58.875
NO4F0822.000,4,11.25,11.5,59.0,59.25,11.375,59.125
NO4P0820.000,4,10.375,10.5,59.125,59.25,10.4375,59.1875
NO4O0820.000,4,10.25,10.375,59.125,59.25,10.3125,59.1875
